state,electoral votes,lean,predictit,cook sep 29,insideelections oct 1,sabato oct 8,politico sep 9,"Montanaro, oct 9"
ak,3,-2,0.25,-2,-2,-2,-2,-1
sc,9,-2,0.19,-2,-3,-2,-3,-2
ut,6,-7,0.13,-2,-3,-2,-2,-2
in,11,-5,0.15,-2,-4,-2,-3,-2
mt,3,-2,0.18,-2,-2,-2,-2,-2
tx,38,-1,0.37,-1,-1,-1,-1,-1
ia,6,0,0.43,0,-1,0,-1,0
oh,18,0,0.45,0,-1,0,-1,0
ga,16,0,0.46,0,0,0,-1,0
m2,1,0,0.42,0,0,0,0,0
nc,15,0.5,0.57,0,0,0,0,0
fl,29,1,0.56,0,1,0,0,0
az,11,1,0.64,1,1,0,0,1
wi,10,1.5,0.68,1,1,1,0,1
mi,16,2,0.75,1,2,1,1,1
n2,1,1,0.74,1,1,1,0,1
pa,20,2,0.69,1,2,1,1,1
nh,4,2.5,0.77,1,2,2,1,1
mn,10,2,0.8,1,3,2,1,1
nv,6,2,0.82,1,3,1,1,1
nm,5,5,0.91,3,4,2,2,2
va,13,3,0.91,2,4,2,2,2
co,9,2,0.91,2,4,2,2,2
nj,14,6,0.94,3,,,3,2
or,7,5,0.95,3,,,2,2
ca,55,9,0.95,3,,,3,2
wa,12,8,0.95,3,,,3,2
ny,29,8,0.96,3,,,3,2
